"SkuPartNumber","ServicePlanName","ServicePlanId","ProvisioningStatus","AppliesTo"
"SPB","O365_SB_Relationship_Management","5bfe124c-bbdc-4494-8835-f1297d457d79","Disabled","User"
"SPB","MCOSTANDARD","0feaeb32-d00e-4d66-bd5a-43b5b83db82c","Disabled","User"
"SPB","INTUNE_O365","882e1d05-acd1-4ccb-8708-6ee03664b117","PendingActivation","Company"
"SPB","FLOW_O365_P1","0f9b09cb-62d1-4ff4-9129-43f4996f83f4","Disabled","User"
"SPB","EXCHANGE_S_STANDARD","9aaf7827-d63c-4b61-89c3-182f06f82e5c","Disabled","User"
"SPB","AAD_SMB","de377cbc-0019-4ec2-b77c-3f223947e102","Disabled","User"
"SPB","INTUNE_SMBIZ","8e9ff0ff-aa7a-4b20-83c1-2f636b600ac2","Disabled","User"
"SPB","WINBIZ","8e229017-d77b-43d5-9305-903395523b99","Disabled","User"
"POWERAPPS_DEV","EXCHANGE_S_FOUNDATION","113feb6c-3fe4-4440-bddc-54d774bf0318","Success","Company"
"POWERAPPS_DEV","DYN365_CDS_DEV_VIRAL","d8c638e2-9508-40e3-9877-feb87603837b","Success","User"
"POWERAPPS_DEV","FLOW_DEV_VIRAL","c7ce3f26-564d-4d3a-878d-d8ab868c85fe","Success","User"
"POWERAPPS_DEV","POWERAPPS_DEV_VIRAL","a2729df7-25f8-4e63-984b-8a8484121554","Success","User"
