"AccountEnabled","AlternativeSecurityIds","ApproximateLastSignInDateTime","ComplianceExpirationDateTime","DeletedDateTime","DeviceCategory","DeviceId","DeviceMetadata","DeviceOwnership","DeviceVersion","DisplayName","EnrollmentProfileName","EnrollmentType","Extensions","Id","IsCompliant","IsManaged","IsManagementRestricted","IsRooted","ManagementType","Manufacturer","MdmAppId","MemberOf","Model","OnPremisesLastSyncDateTime","OnPremisesSecurityIdentifier","OnPremisesSyncEnabled","OperatingSystem","OperatingSystemVersion","PhysicalIds","ProfileType","RegisteredOwners","RegisteredUsers","RegistrationDateTime","SystemLabels","TransitiveMemberOf","TrustType","AdditionalProperties"
"True",,"5/18/2026 1:43:39 AM",,,,"1eab1d5f-687b-476d-814c-14e3b3ea7a67",,,,"LENOVO-JF-DT01",,,,"6a1f3a84-1b52-4057-bd6e-6a3903ccd746",,,,,,,,,,,,,"Windows","10.0.26200.8037",,,,,,,,"Workplace","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"True",,"5/23/2026 10:51:28 AM",,,,"bb81237e-3293-4a90-b17c-cf5127a04193",,,,"DESKTOP-MR3F9A1",,,,"ea0c56f4-8ac0-4248-a358-d711070688dc",,,,,,,,,,,,,"Windows","10.0.26200.8037",,,,,,,,"AzureAd","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
