"ActivityDateTime","ActivityDisplayName","AdditionalDetails","Category","CorrelationId","Id","InitiatedBy","LoggedByService","OperationType","Result","ResultReason","TargetResources","AdditionalProperties"
"5/21/2026 4:37:31 PM","GroupLifecyclePolicies_Get","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValue[]","GroupManagement","446b1e48-ff1e-4093-ba98-66f27c09fa1b","SSGM_446b1e48-ff1e-4093-ba98-66f27c09fa1b_5QG1R_1207964","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAuditActivityInitiator","Self-service Group Management","Update","success","OK","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphTargetResource[]","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"5/18/2026 10:03:20 AM","GroupLifecyclePolicies_Get","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValue[]","GroupManagement","52ad67a5-d58d-491a-8196-0846fe523d81","SSGM_52ad67a5-d58d-491a-8196-0846fe523d81_8KQ3X_48790997","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAuditActivityInitiator","Self-service Group Management","Update","success","OK","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphTargetResource[]","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"5/18/2026 1:48:51 AM","Update device","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValue[]","Device","713ceed0-03c4-4f9f-9d6d-7dcbe606a496","Directory_713ceed0-03c4-4f9f-9d6d-7dcbe606a496_AUW6W_19433755","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAuditActivityInitiator","Core Directory","Update","success","","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphTargetResource[]","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"5/15/2026 8:38:18 PM","Authentication Methods Policy Update","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValue[]","PolicyManagement","19daac45-ce94-4df3-ac83-9910bc33e706","Authentication Methods_19daac45-ce94-4df3-ac83-9910bc33e706_G3G43_192750215","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAuditActivityInitiator","Authentication Methods","ServiceApi","success","NoContent","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphTargetResource[]","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"5/15/2026 8:38:18 PM","Update policy","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValue[]","Policy","bf53cae6-6f62-4747-b5f7-ab22345124d1","Directory_bf53cae6-6f62-4747-b5f7-ab22345124d1_7W7O5_122557706","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAuditActivityInitiator","Core Directory","Update","success","","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphTargetResource[]","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"5/15/2026 8:38:18 PM","Update policy","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValue[]","Policy","b27d891a-5264-407e-aa2e-b8a9da9ca091","Directory_b27d891a-5264-407e-aa2e-b8a9da9ca091_PTEY4_342909747","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAuditActivityInitiator","Core Directory","Update","success","","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphTargetResource[]","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"5/15/2026 3:09:18 AM","GroupLifecyclePolicies_Get","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValue[]","GroupManagement","249b5ead-4bee-4a3a-b859-c5fb548e3572","SSGM_249b5ead-4bee-4a3a-b859-c5fb548e3572_QHV3N_16369152","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAuditActivityInitiator","Self-service Group Management","Update","success","OK","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphTargetResource[]","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"5/14/2026 11:28:28 PM","Authentication Methods Policy Update","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValue[]","PolicyManagement","440ec700-a27e-42a0-8bd9-42630fe578d1","Authentication Methods_440ec700-a27e-42a0-8bd9-42630fe578d1_ZIDEC_169256943","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAuditActivityInitiator","Authentication Methods","ServiceApi","success","NoContent","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphTargetResource[]","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"5/14/2026 11:28:28 PM","Update policy","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValue[]","Policy","3025ca32-59de-4a84-ad12-22e17327aa18","Directory_3025ca32-59de-4a84-ad12-22e17327aa18_TFN4C_89240676","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAuditActivityInitiator","Core Directory","Update","success","","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphTargetResource[]","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"5/14/2026 11:28:28 PM","Add policy","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValue[]","Policy","529b8a42-7d5c-48f9-9c74-3ab997852f57","Directory_529b8a42-7d5c-48f9-9c74-3ab997852f57_J237Q_2046920","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAuditActivityInitiator","Core Directory","Add","success","","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphTargetResource[]","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"5/12/2026 1:05:33 PM","Device no longer compliant","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValue[]","Device","49ac39aa-8001-47e0-81bf-5f2270ba08f6","Directory_49ac39aa-8001-47e0-81bf-5f2270ba08f6_KHNCC_12271937","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAuditActivityInitiator","Core Directory","Update","success","","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphTargetResource[]","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"5/12/2026 1:05:33 PM","Update device","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValue[]","Device","49ac39aa-8001-47e0-81bf-5f2270ba08f6","Directory_49ac39aa-8001-47e0-81bf-5f2270ba08f6_KHNCC_12271930","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAuditActivityInitiator","Core Directory","Update","success","","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphTargetResource[]","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"5/11/2026 8:58:12 PM","GroupLifecyclePolicies_Get","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValue[]","GroupManagement","0ec44bea-e375-4329-b3b3-2a751e24c87b","SSGM_0ec44bea-e375-4329-b3b3-2a751e24c87b_HOIKY_171237084","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAuditActivityInitiator","Self-service Group Management","Update","success","OK","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphTargetResource[]","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"5/9/2026 7:37:10 AM","Update device","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValue[]","Device","f871a169-c8f8-4b7a-a9ee-00c5d3332397","Directory_f871a169-c8f8-4b7a-a9ee-00c5d3332397_2D58U_101894218","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAuditActivityInitiator","Core Directory","Update","success","","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphTargetResource[]","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
"5/8/2026 3:31:50 PM","GroupLifecyclePolicies_Get","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphKeyValue[]","GroupManagement","f41818b5-3884-49a7-bdf7-0e2a51140ae0","SSGM_f41818b5-3884-49a7-bdf7-0e2a51140ae0_C7GS2_100763461","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAuditActivityInitiator","Self-service Group Management","Update","success","OK","Microsoft.Graph.PowerShell.Models.IMicrosoftGraphTargetResource[]","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
