"FileName","RelativePath","FullPath","SizeBytes","LastWriteTime","SHA256"
"04-smb-share-access.txt","DC01-Evidence\DC01-File-Services-IT-Share-NTFS-Fix-20260612-154755\04-smb-share-access.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-File-Services-IT-Share-NTFS-Fix-20260612-154755\04-smb-share-access.txt","704","6/12/2026 3:47:58 PM","D551D79CAB2087A20AAED4F10AF812668E3F56C16E8C5A40384BBA8803B26018"
"05-corrected-ntfs-acl.txt","DC01-Evidence\DC01-File-Services-IT-Share-NTFS-Fix-20260612-154755\05-corrected-ntfs-acl.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-File-Services-IT-Share-NTFS-Fix-20260612-154755\05-corrected-ntfs-acl.txt","488","6/12/2026 3:47:59 PM","A243EE42AC5FEC41AC3C99ED9A861B3C91D1743C66C1F6ADBF3D634CB9B1C155"
"06-validation-summary.txt","DC01-Evidence\DC01-File-Services-IT-Share-NTFS-Fix-20260612-154755\06-validation-summary.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-File-Services-IT-Share-NTFS-Fix-20260612-154755\06-validation-summary.txt","594","6/12/2026 3:48:00 PM","BC0F03EB3E1F198019C5182CCA0A5E6BD5878EAEF05C2A211061FA1ABFA6442D"
"07-evidence-file-list.txt","DC01-Evidence\DC01-File-Services-IT-Share-NTFS-Fix-20260612-154755\07-evidence-file-list.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-File-Services-IT-Share-NTFS-Fix-20260612-154755\07-evidence-file-list.txt","894","6/12/2026 3:48:00 PM","334634F11C2CC1A9BD986575DE90B800496FF9315ED5C8908127F418DBDE4302"
"01-gpo-metadata.txt","DC01-Evidence\DC01-GPO-IT-Drive-Map-20260612-180844\01-gpo-metadata.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-GPO-IT-Drive-Map-20260612-180844\01-gpo-metadata.txt","562","6/12/2026 6:08:47 PM","6FF9E52E2122762BB25AD0EE184B2C093E46ECEE1F25AC279AAD2E38948A7F3D"
"02-users-ou-gpinheritance.txt","DC01-Evidence\DC01-GPO-IT-Drive-Map-20260612-180844\02-users-ou-gpinheritance.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-GPO-IT-Drive-Map-20260612-180844\02-users-ou-gpinheritance.txt","842","6/12/2026 6:08:48 PM","DCFA45B47B4428C0ADCA6FE763E05B0B04009BD0101191D99956B059F487F260"
"03-gpo-registry-drive-map-setting.txt","DC01-Evidence\DC01-GPO-IT-Drive-Map-20260612-180844\03-gpo-registry-drive-map-setting.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-GPO-IT-Drive-Map-20260612-180844\03-gpo-registry-drive-map-setting.txt","1070","6/12/2026 6:08:49 PM","15C971E930378C787244A1D79076C84FF77CF9BB10231E8171B7724CDE5FF819"
"04-it-share-access.txt","DC01-Evidence\DC01-GPO-IT-Drive-Map-20260612-180844\04-it-share-access.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-GPO-IT-Drive-Map-20260612-180844\04-it-share-access.txt","704","6/12/2026 6:08:49 PM","D551D79CAB2087A20AAED4F10AF812668E3F56C16E8C5A40384BBA8803B26018"
"05-it-share-ntfs-acl.txt","DC01-Evidence\DC01-GPO-IT-Drive-Map-20260612-180844\05-it-share-ntfs-acl.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-GPO-IT-Drive-Map-20260612-180844\05-it-share-ntfs-acl.txt","488","6/12/2026 6:08:50 PM","A243EE42AC5FEC41AC3C99ED9A861B3C91D1743C66C1F6ADBF3D634CB9B1C155"
"06-gpo-report.html","DC01-Evidence\DC01-GPO-IT-Drive-Map-20260612-180844\06-gpo-report.html","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-GPO-IT-Drive-Map-20260612-180844\06-gpo-report.html","143004","6/12/2026 6:08:51 PM","7634675C581CBED2F3929BF835D3180AF58BE0500A1503741350A397450BAC62"
