"DisplayName","AppId","ServicePrincipalType","AccountEnabled","PublisherName"
"Power Platform Policy Services CM - PROD","342f61e2-a864-4c50-87de-86abc6790d49","Application","True",
"Group Configuration Processor","1690c5aa-925a-4d0e-836b-722c795bd0d0","Application","True",
"SPAuthEvent","3340b944-b12e-47d0-b46b-35f08ec1d8ee","Application","True",
"Teams NRT DLP Ingestion Service","0ef94e72-e4fc-4aa0-a8f4-ff27deb3e6eb","Application","True",
"Dynamics Lifecycle services","913c6de4-2a4a-4a61-a9ce-945d2b2ce2e0","Application","True",
"Microsoft Flow CDS Integration Service","0eda3b13-ddc9-4c25-b7dd-2f6ea073d6b7","Application","True",
"IDS-PROD","f36c30df-d241-4c14-a0ee-752c71e4d3da","Application","True",
"Microsoft AppPlat EMA","dee7ba80-6a55-4f3b-a86c-746a9231ae49","Application","True",
"Configuration Manager Microservice","557c67cf-c916-4293-8373-d584996f60ae","Application","True",
"Dataverse","00000007-0000-0000-c000-000000000000","Application","True",
"Microsoft Teams UIS","1996141e-2b07-4491-927a-5a024b335c78","Application","True",
"Microsoft Defender for Cloud Apps - Customer Experience","ac6dbf5e-1087-4434-beb2-0ebf7bd1b883","Application","True",
"Intune Mobile Application Management Client","c4bd54e4-c607-435b-8a5a-0d61edff7554","Application","True",
"AADReporting","1b912ec3-a9dd-4c4d-a53e-76aa7adb28d7","Application","True",
"Viva Skills","75d4238e-b142-4d2d-aed9-232b830b8706","Application","True",
"Microsoft Azure Workflow","00000005-0000-0000-c000-000000000000","Application","True",
"Power Platform Environment Discovery Service","3e36f539-fc2c-479c-90fb-3cfa21da3a4b","Application","True",
"Microsoft Device Management Checkin","ca0a114d-6fbc-46b3-90fa-2ec954794ddb","Application","True",
"Office365 Shell SS-Server Default","6872b314-67ab-4a16-98e7-a663b0f772c3","Application","True",
"Device Registration Service","01cb2876-7ebd-4aa4-9cc9-d28bd4d359a9","Application","True",
"O365 Secure Score","8b3391f4-af01-4ee8-b4ea-9871b2499735","Application","True",
"Office 365 Information Protection","2f3f02c9-5679-4a5c-a605-0de55b07d135","Application","True",
"Microsoft Alchemy Service","91ad134d-5284-4adc-a896-d7fd24e9fa15","Application","True",
"Office 365 Enterprise Insights","f9d02341-e7aa-456d-926d-4a0ca599fbee","Application","True",
"Microsoft Threat Protection","8ee8fdad-f234-4243-8f3b-15c294843740","Application","True",
"Azure Signup Api","3829f069-1c33-45dd-84ab-2465f4282677","Application","True",
"Conferencing Virtual Assistant","9e133cac-5238-4d1e-aaa0-d8ff4ca23f4e","Application","True",
